State/Territory,Sewershed_ID,Counties_Served,Population_Served,WVAL_Category,Reporting_Week,date_updated
"Alabama","ID:9","Lee","70000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Alabama","ID:2472","Baldwin","6500","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Alabama","ID:2414","Macon","3653","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Alabama","ID:2407","Tuscaloosa","12278","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Alabama","ID:2406","Sumter","4000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Alabama","ID:2378","Madison","46000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Alabama","ID:2377","Calhoun","22600","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Alabama","ID:2460","Talladega","15000","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Alabama","ID:2425","Randolph","5311","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Alabama","ID:2415","Pike","20000","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Alabama","ID:2387","Marshall","18280","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Alabama","ID:8","Jefferson","95000","Moderate","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Alabama","ID:5","Jefferson","77000","Moderate","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Alabama","ID:4","Jefferson","30000","Moderate","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Alabama","ID:2379","Morgan","50772","Moderate","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Alabama","ID:7","Jefferson","200000","High","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Alabama","ID:2412","Dallas","19000","High","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Alabama","ID:6","Jefferson","225000","Very High","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Alabama","ID:2411","Barbour","14000","Very High","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Alaska","ID:2340","Fairbanks North Star","92000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Alaska","ID:15","Juneau","12000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Alaska","ID:14","Anchorage","23000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Alaska","ID:13","Anchorage","220000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Alaska","ID:16","Juneau","22000","Moderate","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Arizona","ID:35","Pima","397407","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Arizona","ID:34","Pima","23000","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Arizona","ID:33","Pima","347900","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Arizona","ID:30","Maricopa","19260","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Arizona","ID:29","Maricopa","130000","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Arizona","ID:2297","Coconino","46000","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Arizona","ID:2296","Coconino","80000","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Arizona","ID:19","Maricopa","2400000","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Arizona","ID:18","Maricopa","50000","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Arizona","ID:65","Yuma","8271","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Arizona","ID:52","Yuma","18039","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Arizona","ID:51","Yuma","11459","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Arizona","ID:49","Yuma","8928","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Arizona","ID:32","Mohave","37500","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Arizona","ID:2408","La Paz","3400","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Arizona","ID:17","La Paz","3500","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Arizona","ID:50","Yuma","4508","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Arizona","ID:2526","Yavapai","10000","Moderate","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Arkansas","ID:71","Greene","25000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Arkansas","ID:84","Pulaski","32043","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Arkansas","ID:80","Pulaski","30377","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Arkansas","ID:70","Garland","38000","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Arkansas","ID:68","Benton","19000","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
