GEOID,NAME,variable,estimate,moe,geometry
24033800511,Census Tract 8005.11; Prince George's County; Maryland,B19013_001,126220,9962,"list(list(c(-76.743016, -76.738557, -76.732917, -76.732353, -76.729831, -76.727925, -76.726669, -76.726016, -76.720566, -76.720495, -76.720362, -76.720211, -76.720054, -76.718263, -76.717624, -76.717058, -76.717376, -76.717213, -76.717153, -76.718175, -76.721048, -76.723395, -76.732516, -76.735977, -76.735935, -76.735742, -76.735649, -76.735645, -76.735803, -76.739133, -76.741935, -76.743016, 38.925262, 38.926179, 38.925738, 38.9231, 38.918386, 38.91657, 38.91558, 38.915427, 38.915123, 38.91514, 
38.915182, 38.915233, 38.915289, 38.916062, 38.916032, 38.915911, 38.912241, 38.908912, 38.905787, 38.8986, 38.899143, 38.899644, 38.900701, 38.901002, 38.901141, 38.901804, 38.902247, 38.902379, 38.903655, 38.913684, 38.922687, 38.925262)))"
24033801406,Census Tract 8014.06; Prince George's County; Maryland,B19013_001,78715,8115,"list(list(c(-76.994709, -76.991845, -76.992527, -76.991692, -76.990179, -76.989432, -76.985042, -76.984165, -76.982778, -76.980677, -76.977955, -76.973133, -76.971386, -76.967827, -76.966324, -76.964559, -76.961944, -76.957611, -76.959394, -76.962017, -76.965228, -76.967726, -76.969975, -76.973216, -76.976444, -76.978995, -76.983224, -76.985507, -76.990591, -76.993441, -76.993813, -76.994709, 38.767116, 38.770089, 38.772356, 38.773466, 38.77445, 38.776131, 38.781985, 38.783546, 38.784393, 38.786878, 
38.787749, 38.790306, 38.79041, 38.786425, 38.784544, 38.780467, 38.779069, 38.775402, 38.774707, 38.77295, 38.772321, 38.772641, 38.7741, 38.774674, 38.77405, 38.771117, 38.768822, 38.767185, 38.76463, 38.760895, 38.76083, 38.767116)))"
24033805602,Census Tract 8056.02; Prince George's County; Maryland,B19013_001,86289,31472,"list(list(c(-76.98437, -76.982261, -76.981506, -76.979763, -76.97952, -76.975669, -76.976125, -76.977476, -76.978694, -76.981218, -76.983322, -76.983795, -76.984461, -76.98437, 38.992442, 38.992438, 38.992465, 38.992053, 38.990005, 38.987022, 38.986291, 38.985256, 38.987377, 38.987857, 38.988105, 38.988397, 38.990391, 38.992442)))"
24033800102,Census Tract 8001.02; Prince George's County; Maryland,B19013_001,80745,11830,"list(list(c(-76.866582, -76.864543, -76.863971, -76.862221, -76.856716, -76.853543, -76.851914, -76.849084, -76.846242, -76.848979, -76.853048, -76.854945, -76.856111, -76.857643, -76.860531, -76.862036, -76.861836, -76.86615, -76.866912, -76.866582, 39.107585, 39.108944, 39.110949, 39.110348, 39.110733, 39.10992, 39.109232, 39.109097, 39.107967, 39.104188, 39.100305, 39.101205, 39.101373, 39.101515, 39.101802, 39.101603, 39.103865, 39.104993, 39.106654, 39.107585)))"
24033804101,Census Tract 8041.01; Prince George's County; Maryland,B19013_001,79504,26567,"list(list(c(-76.915337, -76.914401, -76.912134, -76.910312, -76.910424, -76.908709, -76.908612, -76.9108, -76.91129, -76.914604, -76.914475, -76.910313, -76.907897, -76.903116, -76.902073, -76.900129, -76.897604, -76.896279, -76.895975, -76.901052, -76.904888, -76.910842, -76.915185, -76.915337, 38.918429, 38.919821, 38.92061, 38.922956, 38.924154, 38.92467, 38.927441, 38.928348, 38.931993, 38.933668, 38.934335, 38.933723, 38.933273, 38.932606, 38.932308, 38.931606, 38.930543, 38.929953, 38.929805, 
38.924553, 38.921651, 38.918557, 38.917109, 38.918429)))"
24033801905,Census Tract 8019.05; Prince George's County; Maryland,B19013_001,115631,13780,"list(list(c(-76.930514, -76.928847, -76.927143, -76.92639, -76.92552, -76.923374, -76.91928, -76.918534, -76.914212, -76.912828, -76.911685, -76.909798, -76.902502, -76.901129, -76.900164, -76.900062, -76.899903, -76.899827, -76.899616, -76.896765, -76.895019, -76.894738, -76.892548, -76.888012, -76.887674, -76.89265, -76.892856, -76.895737, -76.899179, -76.902531, -76.90522, -76.91934, -76.924771, -76.931159, -76.930514, 38.821539, 38.823266, 38.827324, 38.828037, 38.829558, 38.830345, 38.831671, 
38.832598, 38.834076, 38.833874, 38.834364, 38.834497, 38.835656, 38.834376, 38.833456, 38.83337, 38.833234, 38.833163, 38.832963, 38.831271, 38.829243, 38.828915, 38.826173, 38.822358, 38.822134, 38.820494, 38.820701, 38.81971, 38.818694, 38.817998, 38.817924, 38.81972, 38.820171, 38.818843, 38.821539)))"
24033800209,Census Tract 8002.09; Prince George's County; Maryland,B19013_001,59096,5355,"list(list(c(-76.860711, -76.854532, -76.852027, -76.849969, -76.848425, -76.847427, -76.845921, -76.843898, -76.84399, -76.846323, -76.847344, -76.847493, -76.848159, -76.851208, -76.853956, -76.856594, -76.859189, -76.860711, 39.078767, 39.083113, 39.086941, 39.09044, 39.093506, 39.095304, 39.094042, 39.092936, 39.092815, 39.089195, 39.085381, 39.084444, 39.08036, 39.081308, 39.081297, 39.080747, 39.078732, 39.078767)))"
24033804802,Census Tract 8048.02; Prince George's County; Maryland,B19013_001,66420,17277,"list(list(c(-76.967628, -76.967037, -76.966994, -76.96649, -76.966321, -76.965657, -76.962773, -76.962241, -76.961721, -76.96066, -76.960226, -76.959112, -76.958007, -76.958111, -76.957941, -76.960706, -76.962314, -76.965464, -76.967329, -76.96805, -76.967628, 38.949488, 38.95132, 38.951422, 38.952503, 38.952519, 38.952579, 38.954033, 38.953856, 38.953436, 38.950659, 38.950166, 38.949762, 38.948939, 38.948847, 38.948807, 38.949017, 38.948535, 38.947438, 38.94841, 38.948962, 38.949488)))"
24033803200,Census Tract 8032; Prince George's County; Maryland,B19013_001,62891,14354,"list(list(c(-76.915185, -76.910842, -76.904888, -76.901052, -76.895975, -76.890063, -76.888409, -76.886417, -76.888208, -76.88975, -76.891569, -76.892417, -76.891697, -76.89766, -76.906268, -76.908668, -76.909749, -76.913848, -76.915185, 38.917109, 38.918557, 38.921651, 38.924553, 38.929805, 38.92723, 38.926733, 38.924295, 38.923239, 38.920606, 38.920651, 38.92066, 38.917853, 38.918436, 38.916965, 38.916563, 38.916539, 38.915925, 38.917109)))"
24033800218,Census Tract 8002.18; Prince George's County; Maryland,B19013_001,85000,23614,"list(list(c(-76.876693, -76.865593, -76.858808, -76.856408, -76.855753, -76.85523, -76.853643, -76.847862, -76.847216, -76.846842, -76.846315, -76.844217, -76.843155, -76.845491, -76.847647, -76.84903, -76.854666, -76.855095, -76.858791, -76.860729, -76.864351, -76.865098, -76.867394, -76.876693, 39.068175, 39.075539, 39.073265, 39.073503, 39.073508, 39.073506, 39.073531, 39.073663, 39.072754, 39.072375, 39.071967, 39.070739, 39.070084, 39.068411, 39.067746, 39.066999, 39.065687, 39.06558, 39.063723, 
39.063383, 39.060779, 39.061087, 39.069365, 39.068175)))"
