MARYLAND ......................................,148,153,154,198,221,464,691,891,869,921,"4,710"
NORTHWEST AREA ........................,10,9,13,16,20,27,43,67,51,65,321
GARRETT .....................................,0,0,0,0,1,0,1,0,3,1,6
ALLEGANY ....................................,0,2,2,2,5,9,13,12,6,10,61
WASHINGTON ..............................,3,5,6,6,10,9,10,31,24,31,135
FREDERICK ..................................,7,2,5,8,4,9,19,24,18,23,119
BALTIMORE METRO AREA ............,97,108,102,138,167,348,522,693,647,666,"3,488"
BALTIMORE CITY .........................,48,59,47,82,93,202,285,388,380,393,"1,977"
BALTIMORE COUNTY ..................,19,17,27,28,38,80,123,132,138,135,737
ANNE ARUNDEL ..........................,18,13,12,19,19,31,66,91,72,89,430
CARROLL ......................................,3,7,7,2,6,8,14,23,24,8,102
HOWARD ......................................,5,7,5,3,6,7,16,19,9,16,93
HARFORD .....................................,4,5,4,4,5,20,18,40,24,25,149
NATIONAL CAPITAL AREA .............,24,22,25,29,16,44,62,49,74,86,431
MONTGOMERY ............................,12,12,13,10,5,11,17,18,29,26,153
PRINCE GEORGE’S .....................,12,10,12,19,11,33,45,31,45,60,278
SOUTHERN AREA ...........................,3,6,1,3,6,8,19,33,39,33,151
CALVERT ......................................,2,3,0,2,0,2,3,3,9,8,32
CHARLES ......................................,1,1,0,0,2,4,10,13,12,16,59
ST MARY’S ...................................,0,2,1,1,4,2,6,17,18,9,60
EASTERN SHORE AREA ................,14,8,13,12,12,37,45,49,58,71,319
CECIL ............................................,7,2,5,4,3,3,15,14,12,13,78
KENT .............................................,0,0,0,1,1,0,1,1,4,2,10
QUEEN ANNE’S ............................,1,0,0,0,0,1,2,5,6,4,19
CAROLINE ....................................,1,1,0,1,0,5,2,1,2,2,15
TALBOT .........................................,0,0,3,0,1,2,2,3,6,5,22
DORCHESTER .............................,1,1,1,0,0,1,7,2,5,6,24
WICOMICO ...................................,3,4,3,4,7,13,7,13,21,21,96
SOMERSET ..................................,0,0,0,0,0,4,2,6,2,7,21
WORCESTER ...............................,1,0,1,2,0,8,7,4,0,11,34
